"Response","Stimulus","subject"
"NonWord","kqinrjpmm","hoppoeeqtiucche"
" Word"," reporter","hoppoeeqtiucche"
" Word"," concept","hoppoeeqtiucche"
" Word"," class","hoppoeeqtiucche"
" NonWord"," pynsipae","hoppoeeqtiucche"
" Word"," statement","hoppoeeqtiucche"
" NonWord"," bnqepg","hoppoeeqtiucche"
" NonWord"," lnhn","hoppoeeqtiucche"
" NonWord"," dsrdoju","hoppoeeqtiucche"
" Word"," palace","hoppoeeqtiucche"
"Word","class","umxfdibylyyzaie"
" NonWord"," rbhtg","umxfdibylyyzaie"
" Word"," statement","umxfdibylyyzaie"
" NonWord"," hokfq","umxfdibylyyzaie"
" NonWord"," iirmlxh","umxfdibylyyzaie"
" NonWord"," fpxowvmvg","umxfdibylyyzaie"
" Word"," palace","umxfdibylyyzaie"
" NonWord"," ymylfq","umxfdibylyyzaie"
" Word"," concept","umxfdibylyyzaie"
" Word"," reporter","umxfdibylyyzaie"
"NonWord","class","zzqhnhotazajdnq"
" NonWord"," bfpviwn","zzqhnhotazajdnq"
" NonWord"," gbmdv","zzqhnhotazajdnq"
" NonWord"," statement","zzqhnhotazajdnq"
" NonWord"," bhudn","zzqhnhotazajdnq"
" NonWord"," loywhjpyt","zzqhnhotazajdnq"
" NonWord"," reporter","zzqhnhotazajdnq"
" NonWord"," palace","zzqhnhotazajdnq"
" NonWord"," uqhdashh","zzqhnhotazajdnq"
" NonWord"," concept","zzqhnhotazajdnq"
